,Unnamed: 0,neg_prob,pos_prob,neg_vader,neu_vader,pos_vader,sentence,dict,identifier,sentiment,only pos or neg
52,52,0.9886935334640344,0.011306466535963995,0.0,1.0,0.0,"I am on medication, I'm on 7mg of Abilify (2mg dose + 5mg dose, used to take 10mg but the side effects were too much to handle) and 1mg a day of Ativan.",pobj,-1,neu_vader,pos_vader
53,53,0.981799970474002,0.01820002952600437,0.0,0.8079999999999999,0.192,"After a family trip a couple of months later, I quit using my medicine and for the next two years felt pretty much fine without it.",dobj,-1,neu_vader,pos_vader
54,54,0.9978557934030896,0.002144206596910717,0.0,0.888,0.11199999999999999,"I've been on a new regimen of medication for about 4 months now, and I seem to be handling thing much better than I have these past years.",pobj,-1,neu_vader,pos_vader
55,55,0.9998030026044444,0.00019699739557161222,0.231,0.638,0.131,My psychiatrist actually tried convincing me the other day that taking medication will bring peace to the voices that are suffering but that's bullshit.,dobj,-1,neu_vader,neg_vader
57,57,0.9999623815175886,3.7618482397947e-05,0.22899999999999998,0.71,0.061,"It seems to be managed well with medication but there are ""off days"" where behavior can border on emotionally abusive.",pobj,-1,neu_vader,neg_vader
58,58,0.9999794438963884,2.0556103622999647e-05,0.0,1.0,0.0,Given medicine that she would take daily making her sleepy.,pobj,-1,neu_vader,pos_vader
59,59,0.9999398741840771,6.012581590917731e-05,0.165,0.835,0.0,She's still taking medications so I'm not quite sure what's going on.,dobj,-1,neu_vader,neg_vader
61,61,0.9903985885456448,0.00960141145436324,0.0,0.927,0.073,"Okay, okay, so I know that I will never be cured of schizophrenia and I will most likely have a psychotic episode some time since I'm off of my medication but how long can it take for the psychotic symptoms to come back?",pobj,-1,neu_vader,pos_vader
62,62,0.9999706337597184,2.9366240296234614e-05,0.0,0.8079999999999999,0.192,I've been off of my medication and I don't feel too bad at all.,pobj,-1,neu_vader,pos_vader
64,64,0.994413400650344,0.005586599349675243,0.0,0.8320000000000001,0.168,"I was just wondering if anyone can describe what it is like to be on medication (as in how you feel about life, or how you see the world and what it has to offer, how you view other people and their motivations and desires, impressions on entertainment like movies and books, etc.",pobj,-1,neu_vader,pos_vader
65,65,0.9999079148423132,9.20851576686354e-05,0.0,1.0,0.0,"), as opposed to not being on medication?",pobj,-1,neu_vader,pos_vader
66,66,0.99972294870612,0.00027705129386980203,0.157,0.843,0.0,"I'm not sure if he's taken himself off of his meds again or not, and I'm not sure how frequently he's been smoking.",pobj,-1,neu_vader,neg_vader
67,67,0.9998847031879432,0.00011529681207596492,0.32799999999999996,0.672,0.0,They gave her medication for depression which she said she was having allergic reactions too and stopped taking it.,dobj,-1,neu_vader,neg_vader
68,68,0.9999394053020504,6.0594697968759133e-05,0.0,1.0,0.0,"Since we don't have health insurance, she wasn't able to get any medication immediately.",dobj,-1,neu_vader,pos_vader
69,69,0.9947465706673454,0.005253429332643911,0.0,0.8909999999999999,0.109,They said for her to get free medication she would have to also see a therapist and they will contact her when they have all the information for it.,dobj,-1,neu_vader,pos_vader
70,70,0.9999019760511124,9.802394888308546e-05,0.423,0.5770000000000001,0.0,She had no medication because of no healthcare.,dobj,-1,neu_vader,neg_vader
71,71,0.9998764700817186,0.0001235299182921481,0.10099999999999999,0.7829999999999999,0.115,I was wondering if any of you have had an allergic reaction to the medicine and what it looked like.,pobj,-1,neu_vader,pos_vader
72,72,0.9982345196772175,0.0017654803227772214,0.23800000000000002,0.586,0.17600000000000002,"And now the cycle begins again, where I miss 'em, think they're these powerful, meaningful voices, that I'm hurting by blocking with medication.",pobj,-1,neu_vader,neg_vader
74,74,0.99756082368802,0.002439176311997337,0.09,0.91,0.0,Also right now I am in the process of changing meds and the one I'm changing to isn't helping at all.,dobj,-1,neu_vader,neg_vader
75,75,0.9982788975422884,0.001721102457730686,0.0,1.0,0.0,I currently take a cocktail of medications.,pobj,-1,neu_vader,pos_vader
77,77,0.9999712624622044,2.8737537812039545e-05,0.0,1.0,0.0,Go on meds.,pobj,-1,neu_vader,pos_vader
79,79,0.999956250368038,4.374963196042968e-05,0.32799999999999996,0.527,0.145,Take the meds no matter what!,dobj,-1,neu_vader,neg_vader
80,80,0.99987936328474,0.00012063671524938208,0.098,0.78,0.122,"I'm just wondering how most people on meds are, do you hear voices, paranoid thoughts, and the like.",pobj,-1,neu_vader,pos_vader
81,81,0.9999688787278912,3.112127211145375e-05,0.0,1.0,0.0,Also do episodes happen even while on meds and how far between do they tend to be.,pobj,-1,neu_vader,pos_vader
82,82,0.9613133076957354,0.03868669230424993,0.0,1.0,0.0,I haven't taken my medication in a few days and I'm itching to get off of it due to the sedation and zombification.,dobj,-1,neu_vader,pos_vader
83,83,0.9999576936599399,4.2306340042777815e-05,0.18100000000000002,0.8190000000000001,0.0,"http://www.rollingstone.com/music/news/scott-stapp-threatened-kill-president-obama-claims-singers-wife-911-call-20141212

Apparently he suffers from schizophrenia and seems to have gone off his meds recently.",dobj,-1,neu_vader,neg_vader
84,84,0.9992843463303408,0.0007156536696580137,0.207,0.6759999999999999,0.11699999999999999,"I don't try to manipulate people with talk of suicide, like I probably did before my demise, as it's not like someone will pull out the ""real"" medicine and advice once I talk about killing myself.",dobj,-1,neu_vader,neg_vader
86,86,0.9999850261811912,1.4973818801743127e-05,0.16699999999999998,0.614,0.21899999999999997,I haven't been taking my meds like I should because I forget.,dobj,-1,neu_vader,pos_vader
87,87,0.9997880467639942,0.00021195323598733796,0.077,0.9229999999999999,0.0,"Shortly (just a few weeks) after I was able to go off my meds, and my symptoms only start to come back if I let my b-12 levels drop.",pobj,-1,neu_vader,neg_vader
88,88,0.9950847758273615,0.004915224172629015,0.10400000000000001,0.8959999999999999,0.0,"After a short voluntary inpatient stay, he's currently working with a psychiatrist to figure out medications and is lucid the vast majority of the time, but is struggling with ups and downs and side effects.",dobj,-1,neu_vader,neg_vader
89,89,0.9984101196278852,0.001589880372131803,0.174,0.826,0.0,My biggest fear is that he will wind up homeless and suffering psychosis on the street somewhere because he will either not be able to afford his medications or a place to live.,dobj,-1,neu_vader,neg_vader
90,90,0.999978988432438,2.101156754605227e-05,0.174,0.826,0.0,"For example, somebody needs bipolar medication, they are more likely to have frivolous sex, or somebody with schizophrenia abuse substances intravenously?",dobj,-1,neu_vader,neg_vader
92,92,0.9997970888929764,0.00020291110703853964,0.0,1.0,0.0,I am going to visit a psychologist here soon to confirm and begin medication.,dobj,-1,neu_vader,pos_vader
94,94,0.9997348634033866,0.00026513659662982976,0.0,0.8909999999999999,0.109,would being on meds to prevent delusions a high functioning sz?,pobj,-1,neu_vader,pos_vader
95,95,0.9999109843374794,8.901566250621405e-05,0.0,1.0,0.0,"Anyway, I'm on meds now and I have to take them for 2 years.",pobj,-1,neu_vader,pos_vader
96,96,0.9998900533396744,0.00010994666033482231,0.16699999999999998,0.833,0.0,"Most likely because of this, I am told i have severe ADHD and am on medication.",pobj,-1,neu_vader,neg_vader
97,97,0.9877591946767896,0.012240805323196848,0.114,0.8859999999999999,0.0,I try to avoid telling people about this because I know it's hard to believe what with so often it being the case that a person goes off of their medication and relapses.,pobj,-1,neu_vader,neg_vader
98,98,0.9999907451747312,9.254825278310296e-06,0.191,0.809,0.0,"I'm calling my psychiatrist tomorrow to adjust my medications, they have been failing me recently.",dobj,-1,neu_vader,neg_vader
99,99,0.9999460090305864,5.39909693950849e-05,0.0,1.0,0.0,If I don't tell him I'm assuming that he may see me take my meds or Skype with my psychiatrist.,dobj,-1,neu_vader,pos_vader
100,100,0.9999573667739086,4.2633226092668496e-05,0.0,0.855,0.145,I cheeked medicine that entire week because I knew that I had to escape.,dobj,-1,neu_vader,pos_vader
102,102,0.9995005090010152,0.0004994909989982833,0.0,1.0,0.0,How does your current regimen compare to meds you've tried in the past?,pobj,-1,neu_vader,pos_vader
103,103,0.999889927983096,0.00011007201689221599,0.0,1.0,0.0,He doesn't take medication and recently told me he has started seeing shadow people.,dobj,-1,neu_vader,pos_vader
104,104,0.9998194252394682,0.00018057476051711784,0.203,0.797,0.0,"For some 5 years now her symptomps have become worse all the time, she also doesn't want to eat medicine.",dobj,-1,neu_vader,neg_vader
107,107,0.9999974621408466,2.5378591558945422e-06,0.215,0.785,0.0,So when i got to his office i asked to be put on different medicine because he had put me on seriquil and it gave me horrible anxiety and i had read online that you should not have anxiety on seriquil because that was bad.,pobj,-1,neu_vader,neg_vader
108,108,0.9991748115487192,0.0008251884512981188,0.064,0.9359999999999999,0.0,So when i told him this he told me that it wasnt the type of anxiety that I was having and that i was to stay on the medicine.,pobj,-1,neu_vader,neg_vader
109,109,0.9999028364651904,9.716353481389565e-05,0.184,0.816,0.0,In response to what he said to me i got upset and told him that i had read of many websites that anxiety on that medicine was bad for you and that he had not even asked me or let me explain the type of anxiety i was having.,pobj,-1,neu_vader,neg_vader
110,110,0.9997929101644472,0.00020708983555067968,0.0,0.732,0.268,They pretty much just told me to get meds and stay away from the ones that make you gain weight.,dobj,-1,neu_vader,pos_vader
112,112,0.999974172468336,2.58275316660526e-05,0.0,0.716,0.284,I've been completely symptom free on medication since Feb 2012.,pobj,-1,neu_vader,pos_vader
113,113,0.9999708081709304,2.919182907728919e-05,0.0,1.0,0.0,I've decided to wean myself off medication and see how I do.,dobj,-1,neu_vader,pos_vader
114,114,0.9995578854954936,0.0004421145045242597,0.0,1.0,0.0,"If I become symptomatic again, I will immediately start taking the medication again.",dobj,-1,neu_vader,pos_vader
115,115,0.9999414782822921,5.8521717705587816e-05,0.0,0.52,0.48,"I had my first medication free night, so far so good.",dobj,-1,neu_vader,pos_vader
116,116,0.9998322099800384,0.00016779001994719197,0.0,1.0,0.0,I used to be symptomatic again the day after not taking my medication.,dobj,-1,neu_vader,pos_vader
117,117,0.9999674449717988,3.2555028197038037e-05,0.0,0.731,0.26899999999999996,"And I realize it's my first day off medication, but I'm completely fine right now and this gives me high hopes!",pobj,-1,neu_vader,pos_vader
119,119,0.9999353373234716,6.466267652378034e-05,0.272,0.728,0.0,"Here I am, laying in complete darkness, not having taken my medication, with no symptoms!",dobj,-1,neu_vader,neg_vader
120,120,0.999890875324286,0.00010912467571909104,0.0,1.0,0.0,"For those of you off medication, how are you doing?",pobj,-1,neu_vader,pos_vader
121,121,0.9999856063921914,1.4393607813761718e-05,0.0,1.0,0.0,Why are you off medication?,pobj,-1,neu_vader,pos_vader
123,123,0.999981614047502,1.8385952502495173e-05,0.0,0.645,0.355,I can be ok off meds.,pobj,-1,neu_vader,pos_vader
126,126,0.9999627133893606,3.7286610641614065e-05,0.0,1.0,0.0,I took my meds tonight.,dobj,-1,neu_vader,pos_vader
130,130,0.9999636986653916,3.630133462337766e-05,0.0,0.794,0.20600000000000002,I want to go off my meds.,pobj,-1,neu_vader,pos_vader
131,131,0.9999932464637284,6.753536285805965e-06,0.19899999999999998,0.8009999999999999,0.0,"Tell me, have you guys heard about meds causing more brain damage than schizophrenia itself?",pobj,-1,neu_vader,neg_vader
132,132,0.9999891238209452,1.0876179058024444e-05,0.0,0.851,0.149,Do you think we can be well without medication if we try harder?,pobj,-1,neu_vader,pos_vader
136,136,0.997668024890054,0.0023319751099499303,0.0,0.708,0.292,I know a lot of people are hopeful for CBD-based medicines.,pobj,-1,neu_vader,pos_vader
139,139,0.999960114500745,3.988549924444541e-05,0.0,1.0,0.0,"Talk to psychiatrist, probably get more meds.",dobj,-1,neu_vader,pos_vader
140,140,0.9999156163272566,8.438367274932701e-05,0.10300000000000001,0.785,0.11199999999999999,He refuses to take medication or get help and is constantly fighting with his father (which seems to be his trigger).,dobj,-1,neu_vader,pos_vader
141,141,0.9472046594975938,0.05279534050238893,0.025,0.878,0.09699999999999999,"The thing that completely underpins the whole concept of the Cabal is that it blocks people off from their full potential, and in this context that tends to mean their creativity, ability, and nonconformity; if I describe a person or phenomenom as Cabalist, it means that in some way it limits experience, tries to shove someone back into daily human life, like the sedative effects of psychiatric medication or the compulsory education system.",pobj,-1,neu_vader,pos_vader
142,142,0.9999413977470106,5.860225299079339e-05,0.136,0.8640000000000001,0.0,"Background info: Im 18 years old, am currently on no medications and use marijuana recreationally.",pobj,-1,neu_vader,neg_vader
144,144,0.9998270087020209,0.0001729912979777174,0.0,0.821,0.179,Some people tell me that I should be thankful that I don't have symptoms on medication and that I have a job.,pobj,-1,neu_vader,pos_vader
147,147,0.9998631709833218,0.0001368290166855785,0.098,0.902,0.0,"After that night the nurses all started to get annoyed with me because I wouldn't shut up, so they tried to force me to take medications.",dobj,-1,neu_vader,neg_vader
148,148,0.999444470239265,0.0005555297607425681,0.13,0.87,0.0,Apparently it made so much sense that the other residents there took my side and started refusing their medications.,dobj,-1,neu_vader,neg_vader
149,149,0.9999739023340616,2.6097665922334014e-05,0.0,0.6779999999999999,0.322,I'm on okay medication now.,pobj,-1,neu_vader,pos_vader
150,150,0.9998726302768692,0.00012736972314580342,0.0,1.0,0.0,But as time comes to pass I chose not to take meds.,dobj,-1,neu_vader,pos_vader
151,151,0.9998777890743424,0.00012221092564160968,0.0,1.0,0.0,I'm diagnosed as bipolar and am taking meds for that.,dobj,-1,neu_vader,pos_vader
152,152,0.9999580066636516,4.1993336361137296e-05,0.0,0.748,0.252,I know he's on meds to treat what he hears.,pobj,-1,neu_vader,pos_vader
157,157,0.9999754497665077,2.4550233501858064e-05,0.0,0.741,0.259,Week into meds and have -500 energy.,pobj,-1,neu_vader,pos_vader
159,159,0.9939142255210436,0.006085774478941669,0.052000000000000005,0.8859999999999999,0.063,I find it hard to imagine that her delusions that have been the dominant part of her life for years now will just be resolved by medications.,pobj,-1,neu_vader,pos_vader
160,160,0.9999065931555252,9.340684448142237e-05,0.08199999999999999,0.816,0.102,I feel like with the thought patterns of paranoia and persecution would still be around and she would get off the medicine ASAP.,pobj,-1,neu_vader,pos_vader
161,161,0.8663765552188449,0.13362344478115254,0.065,0.935,0.0,"He's lived near me at his current location, a lightly supervised housing complex, for the past three years which has also been the longest stretch in over a decade that he's managed to stay on his meds and out of a forced visit to the state hospital.",pobj,-1,neu_vader,neg_vader
162,162,0.9995323357672012,0.00046766423279151747,0.066,0.877,0.057,"He refuses to work with case workers or psychologists and only takes his current meds because he's under the impression he has to, and won't accept any dosage increases or changes.",dobj,-1,neu_vader,neg_vader
163,163,0.8584833005424802,0.14151669945751855,0.039,0.961,0.0,"If he lives on his own, he'll likely quit his meds and end up hospitalized again, and since anywhere he lives will have the typical noises of every day living that will eventually become voices to him, in a year if he's not hospitalized, he'll be desperate to move again with the same urgency that he feels now.",dobj,-1,neu_vader,neg_vader
164,164,0.9999189272005992,8.107279940747174e-05,0.131,0.7190000000000001,0.15,I grudgingly took my psychiatrist's suggestion to increase my meds for paranoid schizophrenia today.,dobj,-1,neu_vader,pos_vader
165,165,0.9999729738748844,2.7026125098597214e-05,0.0,1.0,0.0,She said she doesn't need medication anymore.,dobj,-1,neu_vader,pos_vader
166,166,0.9919072429897078,0.008092757010286009,0.107,0.727,0.166,I take my meds as I am suppose to but I still hear voices once in a while...I went over a year in silence then their they are jabbering in my ear...I hope I am not immune I hope a change in meds will make it stop!,pobj,-1,neu_vader,pos_vader
168,168,0.9998795514741866,0.00012044852580609362,0.0,0.775,0.225,Update: I have taken meds and am doing a little better now.,dobj,-1,neu_vader,pos_vader
169,169,0.9996955413999642,0.00030445860004602314,0.162,0.838,0.0,He has been refusing to take his meds and has been on several different kinds.,dobj,-1,neu_vader,neg_vader
170,170,0.9999345108815072,6.548911848269505e-05,0.0,1.0,0.0,"Anyway, what type of medication should I use if I have access to pharmaceuticals through my research lab?",pobj,-1,neu_vader,pos_vader
171,171,0.9996441791701008,0.0003558208298876002,0.25,0.75,0.0,"Unfortunately, my lab doesn't deal with schizo, and asking the correct people about medication might draw suspicion.",pobj,-1,neu_vader,neg_vader
172,172,0.9999835037593994,1.649624058268551e-05,0.0,1.0,0.0,Does anyone else get this side effect from his or her medications?,pobj,-1,neu_vader,pos_vader
173,173,0.9997134899435116,0.00028651005649662234,0.0,1.0,0.0,"Recently, I ran out of my medication and didn't have it for two weeks.",pobj,-1,neu_vader,pos_vader
174,174,0.9992064895381334,0.0007935104618461108,0.0,0.915,0.085,"I just got back on my medication and now I have had two episodes that fit the description of schizophrenia, however I have not done any drugs in the past weeks.",pobj,-1,neu_vader,pos_vader
176,176,0.9999725450338648,2.745496613699955e-05,0.091,0.792,0.11599999999999999,Hes older like 27 not on meds not sure what drugs or substances he uses besides alcohol and pot.,pobj,-1,neu_vader,pos_vader
177,177,0.9998845980868204,0.00011540191318098977,0.207,0.7929999999999999,0.0,Heard that not so long ago when off his meds he tried to kill himself in another persons kitchen.,pobj,-1,neu_vader,neg_vader
178,178,0.9998645472045404,0.00013545279543977274,0.0,0.7929999999999999,0.207,After spending some time in the hospital i was put on some really effective meds.,pobj,-1,neu_vader,pos_vader
179,179,0.9999787722821759,2.1227717835069918e-05,0.0,0.9059999999999999,0.094,"That's what they're doing guys help me

They have made the doctor try and give me their mind control medicine and made family make me take it.",dobj,-1,neu_vader,pos_vader
181,181,0.9999418668917356,5.8133108249348925e-05,0.0,1.0,0.0,I was not taking medication regularly and was switching between medication.,pobj,-1,neu_vader,pos_vader
182,182,0.9999398435890648,6.015641092838738e-05,0.0,1.0,0.0,"So in late 2008, I went on my meds.",pobj,-1,neu_vader,pos_vader
183,183,0.9994172928234794,0.00058270717653175,0.081,0.919,0.0,So in 2013 as I visited him I told him that the five years were more than up and that maybe it was time to stop the medicine.,dobj,-1,neu_vader,neg_vader
184,184,0.9999375385127762,6.24614872130555e-05,0.355,0.645,0.0,I wanted to stop taking meds.,dobj,-1,neu_vader,neg_vader
185,185,0.998436130615196,0.001563869384792683,0.192,0.8079999999999999,0.0,"So in the middle of 2013, I stopped taking meds.",dobj,-1,neu_vader,neg_vader
186,186,0.9998148468744624,0.00018515312552233558,0.0,1.0,0.0,A couple of months later I went back on medication.,pobj,-1,neu_vader,pos_vader
187,187,0.9998665700533208,0.00013342994669121014,0.0,0.8440000000000001,0.156,My parents started giving me the medication mixed with orange juice without my knowledge.,dobj,-1,neu_vader,pos_vader
188,188,0.9999523958488394,4.7604151150764865e-05,0.0,1.0,0.0,"I discovered this, threw the medicine away.",dobj,-1,neu_vader,pos_vader
189,189,0.9999754338761389,2.456612386305764e-05,0.457,0.5429999999999999,0.0,I had stopped my meds and went nuts.,dobj,-1,neu_vader,neg_vader
190,190,0.9985169573332546,0.0014830426667441676,0.0,0.851,0.149,"So like I had did in 2008, I went back to the dose of medication I had taken back then.",pobj,-1,neu_vader,pos_vader
193,193,0.9999857674647205,1.4232535293650585e-05,0.0,1.0,0.0,How is everyone doing on their meds?,pobj,-1,neu_vader,pos_vader
195,195,0.9999827884213038,1.7211578698545327e-05,0.0,0.8640000000000001,0.136,That I'm not really schizophrenic and that I'll be ok if I go off my meds.,pobj,-1,neu_vader,pos_vader
196,196,0.9996275554971408,0.0003724445028508444,0.131,0.831,0.038,"I've been doing so well on meds, I don't know if I can mess that up, but I just don't want to be held back from losing more weight since it's been such an issue for so much of my life and I'm finally doing something about it.",pobj,-1,neu_vader,neg_vader
197,197,0.9997973575063506,0.0002026424936617976,0.271,0.679,0.05,"Is it a really bad idea to stop meds, if even just for a while till I reach my goal weight?",dobj,-1,neu_vader,neg_vader
198,198,0.9999732279550652,2.6772044930212234e-05,0.358,0.642,0.0,"I stopped having paranoia / delusions when I got ""stable"" on meds.",pobj,-1,neu_vader,neg_vader
199,199,0.9991434285320628,0.0008565714679255918,0.205,0.6679999999999999,0.127,"And most of the voices are gone, and when I stop taking my meds because I feel like a liar they come back and hurt me so bad that I start taking meds again, but what if I realized that I was actually mentally healthy and just wanted to make myself feel better so I started taking meds again and forced myself to forget?",dobj,-1,neu_vader,neg_vader
200,200,0.9999383433823889,6.165661763004308e-05,0.0,1.0,0.0,"* How regular are your symptoms, specifically hallucinations with and without medication?",pobj,-1,neu_vader,pos_vader
203,203,0.9999925474612678,7.4525387382054935e-06,0.0,1.0,0.0,I wonder if I should quit meds and just.. let myself be.,dobj,-1,neu_vader,pos_vader
204,204,0.999829512400034,0.00017048759995375392,0.11699999999999999,0.883,0.0,I know what they do to people who have it and I'm not interested in those medications for now.,pobj,-1,neu_vader,neg_vader
206,206,0.9977551833935372,0.002244816606464444,0.154,0.8029999999999999,0.043,"I'm so sick of the well intentioned but ridiculous naivety of therapists who talk of ""thriving"" while they dish out meds that rarely work but are a Russian roulette of crippling side effects.",dobj,-1,neu_vader,neg_vader
