,med_sentence
38,I don't enjoy taking my meds because they reduce my creativity and I am a musician/artist that is in college.
39,If not I guess it's back to meds but here goes nothing.
40,"Next week I want to have a total reevaluation of my medication because I have been lying a lot and playing games with my healthworkers and doctors, never had a reason to be honest with them."
41,"There was a brief moment of perfection for a month or two, no medication, i stopped those due to the poisoning effects that they had, feeling completely tired all the time, increasing weight gain, etc."
42,"Or the medicines, which they collectively shove down your throat almost like a ritual in the early hours of the morning when you're hardly awake and other times when you're so tired from their drug-induce seditive that you're falling asleep) and they cut you off from the world too."
43,"I'm curious to know how you would change your treatment plan, your medication, your insurance, basically anything and everything you would like to see change regarding your health care."
44,"I've controlled these to an extent, but they are still there, and medications (a variety) don't seem to really work, outside of a benzo on a case-by-case basis (and if it's a bad evening, even these don't help)

Not only is the above true, but I don't actively have depressive symptoms during these events (though I certainly do the next day), I experience catatonic behavior (either going completely rigid or doing a same set of physical things over and over and over), and I've definitely struggled socially and professionally (I actively avoid social encounters when things are bad)

I don't want to diagnose myself, but I also know that while doctors and shrinks are trained professionals, mental issues are very tricky, and I ultimately know what's going on inside my head."
45,"I'm not searching for medication or anything; I just genuinely want to be better, and the various drugs I've tried to improve things...haven't improved them."
46,"I'm not on any meds for this, but I am for having Borderline personality disorder."
47,I realise some of you don't take meds and have a problem with psychiatry.
48,But taking one's meds is an important part of the recovery process and I know from experience and from reading other people's experience that they help a lot.
49,"He's poorly medicated as the medicine makes him groggy and he doesn't take it regularly, and doesn't really believe that he is ill."
50,I was diagnosed with schizophrenia 8 months ago and now that I am on the right medication and my symptoms have gone I am looking at doing some international travel.
51,I am not on any medication and have discontinued seeing my therapist because she doesn't understand at all.
52,"I am on medication, I'm on 7mg of Abilify (2mg dose + 5mg dose, used to take 10mg but the side effects were too much to handle) and 1mg a day of Ativan."
53,"After a family trip a couple of months later, I quit using my medicine and for the next two years felt pretty much fine without it."
54,"I've been on a new regimen of medication for about 4 months now, and I seem to be handling thing much better than I have these past years."
55,My psychiatrist actually tried convincing me the other day that taking medication will bring peace to the voices that are suffering but that's bullshit.
56,"The meds are blocking them, trying to make me like everyone else, pretending they don't exist, we're hurting them because we're not protecting them as we're supposed to."
57,"It seems to be managed well with medication but there are ""off days"" where behavior can border on emotionally abusive."
58,Given medicine that she would take daily making her sleepy.
59,She's still taking medications so I'm not quite sure what's going on.
60,Are the medication supposed to be less effective with time?
61,"Okay, okay, so I know that I will never be cured of schizophrenia and I will most likely have a psychotic episode some time since I'm off of my medication but how long can it take for the psychotic symptoms to come back?"
62,I've been off of my medication and I don't feel too bad at all.
63,"My psychiatrist is always fucking off, I'm seeing my psychologist though but I don't think they know too much about schizophrenia and the medicine."
64,"I was just wondering if anyone can describe what it is like to be on medication (as in how you feel about life, or how you see the world and what it has to offer, how you view other people and their motivations and desires, impressions on entertainment like movies and books, etc."
65,"), as opposed to not being on medication?"
66,"I'm not sure if he's taken himself off of his meds again or not, and I'm not sure how frequently he's been smoking."
67,They gave her medication for depression which she said she was having allergic reactions too and stopped taking it.
68,"Since we don't have health insurance, she wasn't able to get any medication immediately."
69,They said for her to get free medication she would have to also see a therapist and they will contact her when they have all the information for it.
70,She had no medication because of no healthcare.
71,I was wondering if any of you have had an allergic reaction to the medicine and what it looked like.
72,"And now the cycle begins again, where I miss 'em, think they're these powerful, meaningful voices, that I'm hurting by blocking with medication."
73,I need to hear that it would be ok if I did this because I really need help and have no one or even a doctor or any meds.
74,Also right now I am in the process of changing meds and the one I'm changing to isn't helping at all.
75,I currently take a cocktail of medications.
76,"With my mother, meds were the issue."
77,Go on meds.
78,Go off meds.
79,Take the meds no matter what!
80,"I'm just wondering how most people on meds are, do you hear voices, paranoid thoughts, and the like."
81,Also do episodes happen even while on meds and how far between do they tend to be.
82,I haven't taken my medication in a few days and I'm itching to get off of it due to the sedation and zombification.
83,"http://www.rollingstone.com/music/news/scott-stapp-threatened-kill-president-obama-claims-singers-wife-911-call-20141212

Apparently he suffers from schizophrenia and seems to have gone off his meds recently."
84,"I don't try to manipulate people with talk of suicide, like I probably did before my demise, as it's not like someone will pull out the ""real"" medicine and advice once I talk about killing myself."
85,"Whatever she needs, be that medication or psychotherapy, I hope she gets, and I hope it helps her."
86,I haven't been taking my meds like I should because I forget.
87,"Shortly (just a few weeks) after I was able to go off my meds, and my symptoms only start to come back if I let my b-12 levels drop."
88,"After a short voluntary inpatient stay, he's currently working with a psychiatrist to figure out medications and is lucid the vast majority of the time, but is struggling with ups and downs and side effects."
89,My biggest fear is that he will wind up homeless and suffering psychosis on the street somewhere because he will either not be able to afford his medications or a place to live.
90,"For example, somebody needs bipolar medication, they are more likely to have frivolous sex, or somebody with schizophrenia abuse substances intravenously?"
91,Because antidepressants and anti anxiety medications are just fine where I live.
92,I am going to visit a psychologist here soon to confirm and begin medication.
93,"I just wanted to see if any of you have any suggestions, warnings, advice or whatever as far as specific medications go, or about how things will change after medication."
94,would being on meds to prevent delusions a high functioning sz?
95,"Anyway, I'm on meds now and I have to take them for 2 years."
96,"Most likely because of this, I am told i have severe ADHD and am on medication."
97,I try to avoid telling people about this because I know it's hard to believe what with so often it being the case that a person goes off of their medication and relapses.
98,"I'm calling my psychiatrist tomorrow to adjust my medications, they have been failing me recently."
99,If I don't tell him I'm assuming that he may see me take my meds or Skype with my psychiatrist.
100,I cheeked medicine that entire week because I knew that I had to escape.
101,"Hey, so I'm a nursing student interested in becoming a psych nurse &amp; for clinical we're analyzing various medication regimens for a ""medication reconciliation"" project- anyone care to share there experiences?"
102,How does your current regimen compare to meds you've tried in the past?
103,He doesn't take medication and recently told me he has started seeing shadow people.
104,"For some 5 years now her symptomps have become worse all the time, she also doesn't want to eat medicine."
105,She still is not accepting my diagnosis and tried to get me off meds.
106,How is your medication working?
107,So when i got to his office i asked to be put on different medicine because he had put me on seriquil and it gave me horrible anxiety and i had read online that you should not have anxiety on seriquil because that was bad.
108,So when i told him this he told me that it wasnt the type of anxiety that I was having and that i was to stay on the medicine.
109,In response to what he said to me i got upset and told him that i had read of many websites that anxiety on that medicine was bad for you and that he had not even asked me or let me explain the type of anxiety i was having.
110,They pretty much just told me to get meds and stay away from the ones that make you gain weight.
111,Edit: I want to add that my medicine does mess me up sometimes.
112,I've been completely symptom free on medication since Feb 2012.
113,I've decided to wean myself off medication and see how I do.
114,"If I become symptomatic again, I will immediately start taking the medication again."
115,"I had my first medication free night, so far so good."
116,I used to be symptomatic again the day after not taking my medication.
117,"And I realize it's my first day off medication, but I'm completely fine right now and this gives me high hopes!"
118,The medication had caused a lot of side effects.
119,"Here I am, laying in complete darkness, not having taken my medication, with no symptoms!"
120,"For those of you off medication, how are you doing?"
121,Why are you off medication?
122,But I think the fact that I can't hear them now just means they're still suffering but unable to communicate because the medication is blocking my ability to hear them.
123,I can be ok off meds.
124,Maybe it is all the meds.
125,But I've just read that the meds cause more brain damage than having schizophrenia.
126,I took my meds tonight.
127,That the meds are the reason I'm so normal now and doing well.
128,And it sounds like meds are the way but what if they're not?
129,Meaning that the voices are real and the meds are destructing my ability to listen to them.
130,I want to go off my meds.
131,"Tell me, have you guys heard about meds causing more brain damage than schizophrenia itself?"
132,Do you think we can be well without medication if we try harder?
133,maybe I'm already getting sick and I just need a meds adjustment.
134,"If so, how do you cope, and what medicines or alternative methods have worked for you?"
135,Should I wait until there are better medications?
136,I know a lot of people are hopeful for CBD-based medicines.
137,The second most disabling aspect is the cognitive decline from the illness and medicine that makes me feel that I can't go back to school.
138,I was just taken off one of my schizophrenia meds(Latuda) because it was making me sick and I don't know if that's the reason but I'm hearing voices more often and I just..
139,"Talk to psychiatrist, probably get more meds."
140,He refuses to take medication or get help and is constantly fighting with his father (which seems to be his trigger).
141,"The thing that completely underpins the whole concept of the Cabal is that it blocks people off from their full potential, and in this context that tends to mean their creativity, ability, and nonconformity; if I describe a person or phenomenom as Cabalist, it means that in some way it limits experience, tries to shove someone back into daily human life, like the sedative effects of psychiatric medication or the compulsory education system."
142,"Background info: Im 18 years old, am currently on no medications and use marijuana recreationally."
143,"i see my doctor tomorrow, so he'll which medications."
144,Some people tell me that I should be thankful that I don't have symptoms on medication and that I have a job.
145,"So that proves the meds don't work like they should, I guess."
146,"I was 17, had suffered from depression, delusional self-hating thoughts and social anxiety since I was 14, but had learned a better way of coping was finding good friends and exercise instead of therapy, medications, or the like."
147,"After that night the nurses all started to get annoyed with me because I wouldn't shut up, so they tried to force me to take medications."
148,Apparently it made so much sense that the other residents there took my side and started refusing their medications.
149,I'm on okay medication now.
150,But as time comes to pass I chose not to take meds.
151,I'm diagnosed as bipolar and am taking meds for that.
152,I know he's on meds to treat what he hears.
153,"They tell me the meds will make me feel better, that they can help me and that there is a whole team of people who are behind me wanting to help me and make me feel better."
154,"The other day she texted me to say that she'd met Nellie Furtado in  hospital medication room and that ""Nellie"" had affirmed her identity (I think this may have been a mistake on the part of a young trainee nurse to ""go along"" with my sister's belief)."
155,"I don't expect any medication to be a panacea, but wondered if anyone had the same experience and how you handled it without causing the affected person to withdraw or become upset."
156,"Fifth only gave me heavy depression, OCD and schizophrenia medicine without saying what is wrong with me."
157,Week into meds and have -500 energy.
158,And I don't know how these medications work.
159,I find it hard to imagine that her delusions that have been the dominant part of her life for years now will just be resolved by medications.
160,I feel like with the thought patterns of paranoia and persecution would still be around and she would get off the medicine ASAP.
161,"He's lived near me at his current location, a lightly supervised housing complex, for the past three years which has also been the longest stretch in over a decade that he's managed to stay on his meds and out of a forced visit to the state hospital."
162,"He refuses to work with case workers or psychologists and only takes his current meds because he's under the impression he has to, and won't accept any dosage increases or changes."
163,"If he lives on his own, he'll likely quit his meds and end up hospitalized again, and since anywhere he lives will have the typical noises of every day living that will eventually become voices to him, in a year if he's not hospitalized, he'll be desperate to move again with the same urgency that he feels now."
164,I grudgingly took my psychiatrist's suggestion to increase my meds for paranoid schizophrenia today.
165,She said she doesn't need medication anymore.
166,I take my meds as I am suppose to but I still hear voices once in a while...I went over a year in silence then their they are jabbering in my ear...I hope I am not immune I hope a change in meds will make it stop!
167,If the meds are not going to work then why deal with all the horrible side effects
168,Update: I have taken meds and am doing a little better now.
169,He has been refusing to take his meds and has been on several different kinds.
170,"Anyway, what type of medication should I use if I have access to pharmaceuticals through my research lab?"
171,"Unfortunately, my lab doesn't deal with schizo, and asking the correct people about medication might draw suspicion."
172,Does anyone else get this side effect from his or her medications?
173,"Recently, I ran out of my medication and didn't have it for two weeks."
174,"I just got back on my medication and now I have had two episodes that fit the description of schizophrenia, however I have not done any drugs in the past weeks."
175,"Is it possible that I also have schizophrenia and the medications, specifically Abilify, that I'm taking are treating it?"
176,Hes older like 27 not on meds not sure what drugs or substances he uses besides alcohol and pot.
177,Heard that not so long ago when off his meds he tried to kill himself in another persons kitchen.
178,After spending some time in the hospital i was put on some really effective meds.
179,"That's what they're doing guys help me

They have made the doctor try and give me their mind control medicine and made family make me take it."
180,"The mind control medicine let's them into my brain and they know all my thoughts and they communicate with me through my brain saying they are doing this to make me kill myself I don't want to let them win 

How did you stop them spreading this lies saying you have ""schizophrenia"""
181,I was not taking medication regularly and was switching between medication.
182,"So in late 2008, I went on my meds."
183,So in 2013 as I visited him I told him that the five years were more than up and that maybe it was time to stop the medicine.
184,I wanted to stop taking meds.
185,"So in the middle of 2013, I stopped taking meds."
186,A couple of months later I went back on medication.
187,My parents started giving me the medication mixed with orange juice without my knowledge.
188,"I discovered this, threw the medicine away."
189,I had stopped my meds and went nuts.
190,"So like I had did in 2008, I went back to the dose of medication I had taken back then."
191,"During my recent visit, the doctor told me that this medication can be stopped in some years."
192,"My medication has really bad side effects, an anxious, sick feeling feeling every time I take it, including involuntary muscle movements (Latuda) and my eyes started rolling back in my head."
193,How is everyone doing on their meds?
194,I've lost about 10 lbs so far but I'm sure my meds are holding me back since they helped me gain so much weight in the first place.
195,That I'm not really schizophrenic and that I'll be ok if I go off my meds.
196,"I've been doing so well on meds, I don't know if I can mess that up, but I just don't want to be held back from losing more weight since it's been such an issue for so much of my life and I'm finally doing something about it."
197,"Is it a really bad idea to stop meds, if even just for a while till I reach my goal weight?"
198,"I stopped having paranoia / delusions when I got ""stable"" on meds."
199,"And most of the voices are gone, and when I stop taking my meds because I feel like a liar they come back and hurt me so bad that I start taking meds again, but what if I realized that I was actually mentally healthy and just wanted to make myself feel better so I started taking meds again and forced myself to forget?"
200,"* How regular are your symptoms, specifically hallucinations with and without medication?"
201,I think it's the meds.
202,Like the meds are making me less human.
203,I wonder if I should quit meds and just.. let myself be.
204,I know what they do to people who have it and I'm not interested in those medications for now.
205,http://www.medscape.com/viewarticle/849865
206,"I'm so sick of the well intentioned but ridiculous naivety of therapists who talk of ""thriving"" while they dish out meds that rarely work but are a Russian roulette of crippling side effects."
207,I'm also not currently on any meds and when I was given a low-dose anti-psychotic (Quetiapine) instead of anti-depressants I felt best but the weight gain was brutal.
208,I got on meds and things got better.
209,"My ""support system"" is no help they just ask me ""are you taking your medication?"""
210,"I think this means trying meds again and becoming the zombie again, the zombie who still hallucinates... have to give it a shot I guess even though between my heart conditions and reactions/allergies it is really a dangerous thing."
211,Says the place is making him crazy and the medicine is making him crazy.
212,Would medication that was successful to a distant relative  (3rd cousin) with paranoid schizophrenia have a better chance at successfully treating him?
213,"Thinking back to this I realize why she reacted so bad...My grandma has paranoid schizophrenia and when she's off her medicine she really does start doing some bat shit crazy stuff, but here I was calmly explaining to the doctor that I thought I was schizophrenic."
214,My mom is with us and since I'm agreeing and i'm so calm and everything she says it's okay and I'll take the medicine at home.
215,I'll stop taking the medicine and if I hear and voices or get paranoid I'll start it again immediately.
216,"Well...I stop the medicine and it's been 3 years, and I've been completely fine.No paranoia no more delusions."
217,I've been living at home going to school since starting the medicine.
218,I was thinking about how much better everything has gotten since I stopped the medicine.
219,"I agreed to just take the medicine and go home, later that day the mood swings have completely stopped and I'm back to my normal depressed sarcastic self."
220,"I have the medicine with me, but I'm unsure if I should start taking it again?"
221,"Over the years, she saw a psychiatrist (who she saw for at least ten years before stopping, but recently just started seeing again) and has been on many different kinds of medications including Lithium, Topamax, Ambien, Seroquel, Lamictal, and Depakote."
222,She was on a good streak for a while - one of her meds was working really well and she seemed to be as close to normal as I had seen her since I was probably 6 years old.
223,"When I forget to take my medication I hear myself talking to me, but it's not me."
224,"I am currently on several medications not related to schizophrenia, overall I take 6 pills a day which has proven to be a pain to get them all to work accordingly together."
225,"I have spent about a year and a half trying to figure out what medication for schizophrenia would work for me as well as work with the line of medicines I already take, after going through several that did not work / required me to switch another medication to a new one that wouldn't work I have decided the struggle of figuring these things out is not something I can handle anymore."
226,"I don't want any advice on medications, however I would like a bit of insight regarding things that other people do to calm them or remind themselves that it is not reality."
227,He thinks my mom ( who has been helping him this whole time and dealing with all his med and appointments) is dosing him with his pain medication he takes for his rsd ( a chronic pain disorder).
228,In the last few years it's obvious he has started using street drugs and stopped taking medication.
229,"I've been hearing my mother call my name, my brother who doesn't live here talking to me; I've even had two conversations with people who weren't even there after I took my medication."
230,"And now I can't shake the feeling they have to tell me something very important and I can't hear them with the meds so I have to stop, just for a little while."
231,"I just wanna hear what they have to say, determine if it's bullshit, then get back on my normal medications."
232,I need to know how long to be off meds.
233,"And if I somehow do get him diagnosed and on meds, would the medication even work with alcohol in his body?"
234,"I am 100% sure, however I have not been to see anyone yet out of fear of medication."
235,Also telling me my medicine will leave me comatose and when I am how I will be raped.
236,"We took him to a psychologist, and he was on medication for a while."
237,"Unfortunately my father’s family is very traditional and was convinced that there was nothing wrong with him, and that the side affects of the medication would be causing more harm than the medicine did good."
238,"My dad stopped the medication (after convincing the psychologist, and getting her permission) Symptoms started reappearing, but my dad insisted he had it under control."
239,That man only managed to recover by accepting the holes in his reasoning and trying medication for a week.
240,He’s been on meds for 4 years now.
241,"My mom insists that he needs to take medications (something that I think we should hold off on proposing) Every time my mom brings this up, he grows incredibly aggressive, and says he’ll immediately file for divorce and leave."
242,She had the nerve to ask me if I'd been taking my medication.
243,Yes I´m on meds and in a hospital so don´t worry too much.
244,"I've been forgetting to take my medication lately, and I'm starting to feel the effects of it."
245,Does anyone have suggestions on how to take my medication regularly?
246,"I decided well if it somewhat works then I should continue taking the medication, even if I'm suffering from akathesia."
247,I can't even take my own medications because they lock it from me.
248,He's not currently on any medication.
249,He doesn't want medication but I think he desperately needs it.
250,"https://www.youtube.com/watch?v=x9iwkMoZWnk

So John apparently has paranoid schizophrenia, and has said that he believes the medication he is receiving is poison, so he refuses to take them."
251,"- He takes medication, but neglects it from time to time."
252,I also know he isn't taking any medication... And that he's now homeless.
253,How can I help him take his medication?
254,I love him with all my heart and I know all he needs is to stay on his meds.
255,But now I'm not on the meds any more and it's pretty much impossible for me to anything school related.
256,"I am a genetic time-bomb, im on meds, and HELLO?"
257,"The study: http://archpsyc.jamanetwork.com/article.aspx?articleid=210554

A small excerpt from the abstract:

&gt; **Context**:  The use of antipsychotic medication for the prevention of psychotic disorders is controversial."
258,Since I got off my medications it has gotten a billion times better.
259,"With medication he's great but I know that medications lose effectiveness over time a lot, or he could think he doesn't need them."
260,I went off my meds for a week before taking a few tests for entrance to Mensa.
261,"I had to go off the meds because on the meds, I feel like I'm running in mud when I try to think on real tough stuff."
262,I've read it on and off my meds.
263,"It's clear as day off my meds but on them, I need to break up the sentence into pieces, then form those pieces into a whole."
264,"On the meds though, I can just sit, and chill, and have a conversation."
265,"Hi guys, I've been living with stability for quite some time now, but my medication leaves me without any spontaneity or enthusiasm for life that is so me."
266,"Obviously none of you know me from adam, but I was wondering if any of you out there have successfully gotten off your medication and returned to a state of normalcy!"
267,"I've worked with my doc on changing my meds around, going to therapy once a week, practicing yoga and medication, and practicing coping skills."
268,He supposedly had severe ADHD so bad that he was on the most powerful medication and it wasn't helping him.
269,"He had all types of medications including SSRIs, anxiety med, ADHD medicine, but it seemed to only help a bit."
270,He wont even talk to a shrink and he certainly wont take any medication.
271,"I should add that he did get formally diagnosed a few months after he admitted to the hallucinations and that he was on some sort of medication for awhile but stopped it pretty quickly because he felt ""like a zombie""."
272,"E. The disturbance is not attributable to the physiological effects of a substance (eg, a drug of abuse, a medication) or another medical condition."
273,he has gone off his meds in the past and been admitted to a hospital after having a breakdown in public.
274,in the past i've only ever discussed these issues after the fact when he has been back on his meds for a while.
275,is it ok for me to ask if he has been taking his meds?
276,If you feel like your medications aren't working tell your doctor and they can see where things go from there.
277,"It's also a good idea to get a Pillbox with a calendar on it next to a bottle of water ,that you mark with a permanent marker every time after you take your meds, so that you know whether or not you took your pill."
278,that is considering that the sz manages his symptoms or doesn't have symptoms and takes medication so he is otherwise well and able to function physically and mentally.
279,My mother attempted to trick me into taking ADHD medication when I was in 8th grade and after figuring it out I dumped all the pills.
280,She lives a normal life now with no doctors or medication.
281,"I don't know what else to do, so I was considering stopping my medication and tackling my disorder without medication."
282,Anyone who doesn't take medication for their Schizophrenia have any advice for me?
283,"My delusions are much more constant, although medication is helping."
284,"I had many questions to ask, the most important being if she was following her medication."
285,   I have never really taken my medication.
286,"My Mom is diagnosed with Depression with Psychotic features, and she has gotten worse and worse after each episode from when 1) her medication fails or 2) she stops taking it."
287,She isn't taking her medication or it isn't working.
288,* **Contraindicating prescribed medical treatments** such as advice to cease medication on one's own or to take drugs without a prescription is **forbidden**.
289,I hate having a curfew because I have to talk my seroquel at night and my meds no later than 12 the next day.
290,"I've been on medications since I was 17, but since I've gotten progressively sicker and put on more/stronger medications."
291,"According to my therapist, there's a fair chance that by my mid 30s-40s I'll have gotten slightly worse, which means I can't be without my meds."
292,Sometimes I just want to stop all of my medications until I get bad enough to need them.
293,"I know that's awful, but I don't even remember how I feel without medications, and I'd like to see that side of me again."
294,I was told that I would need frequent blood test for this medication.
295,An employee at the hospital said that she does not think I take my medication.
296,I do take my medication and the levels and the drug levels are correct in my blood.
297,That's something modern medicine doesn't quite understand.
298,I had two psychotic episodes 3 years ago and the second time was because I stopped taking my meds abruptly shortly after coming home from the hospital from my the first psychosis episode I had...
299,But the medication makes me sleepy.
300,Are there any good antipsychotic meds that don't cause weight gain?
301,"And like always it's gone from ""hey, i'm perfectly fine without meds"" to ""holy fuck, i can't deal with these hallucinations""."
302,I lost my medicaid because I stopped going to therapy so I can't pay for medications.
303,"I am on medication for bipolar and an antipsychotic,  pretty sure im schizophrenic, but ive had a weird day today and am considering something else."
304,Different people respond differently to different medications.
305,"If you have not found good relief from your medication regimen, and if others have not quite hit the mark either, you may want to see if pharmacogenetic testing is available in your area (and if it's covered by your insurance)."
306,Long story short: it will map out how your liver is metabolizing different medications.
307,"It can also help a physician (and yourself) save time from randomly trying medications which, due to the unique function of your body,  may just not be as effective."
308,"Take meds for two months, feel better, quit again."
309,"While in the mental hospital they gave me risperidone, and a couple weeks after recovering and taking the medicine independently (about the average time it takes to actually work), I heard voices clearly for the first time."
310,"HOWEVER, These voices on these meds spoke with a different tone and different respect and different conversation."
311,"ONE of many reason why I stopped taking this medication is because one of my friends responded ""dude did you actually read the side effects cause it will cause you to become schizophrenic if you take it."""
312,"(cause their dog would probably eat your kitten)

Both the people mentioned above (black plump dike and unshaven looking white guy) took this medication at one point and shared the interest of religion, ME and jazz music."
313,is this normal for being on risperidone or should i ask my doctor to which to some of medication that won't lower my testosterone levels?
314,I just wanted to share some of my happiness at this -- for the first time since trying meds 8 years ago... and with several more years of symptoms prior to that...
315,"That's the longest my meds have ever worked for me, and the first time that I barely think about how people can hear my thoughts (still believe it, but never think on it anymore)."
316,"I'm 21F and have just been put on medication for ""psychosis."""
317,"I know that I don't have any symptoms on medication, and that I have a mild case of the disease (as my doctor told me) and can function normally, but I still have this irrational fear."
318,(Which apparently is a great anti psychosis medication)
319,"For the past 4 months that this has been happening, I've been on meds a month now, it seems like it's all new and is never going away."
320,"I'm taking Seroquel, Lithium and Lamictal but I wish there was a medicine that made this go away faster."
321,"He says that amphetamine is basically the exact opposite from my meds, and that he has never heard of a case where amphetamines work against schizophrenia."
322,I haven't taken my meds in a few years and I'm doing fine.
323,I was prescribed medication and warned that my symptoms will get more severe if I am not treated.
324,Okay so im on meds now things are better not great but worlds better and I dont know if this where I can rant or not but I feel safe here.
325,Ill be working just to pay doctors when I feel all I need is meds but im scared and am not sure.
326,I cant quit meds or psych because hes the good guy controlling my moods
327,I didn't have enough medication to get through the week because I didn't plan very well.
328,I think it's because I missed my medication.
329,What happens when you forget your meds for a few days?
330,"I had him call his psychiatrist and his parents, and he's going to the clinic to get anti anxiety medication now."
331,"Fast forward a bit, I got out of the ward shortly and began taking medications and things were looking up."
332,What are some promising medications currently being researched for schizophrenia?
333,"Also, if you have tried various medications and would like to share your preferred meds and experience, thanks."
334,Now they won't prescribe a medication that has been successful in the past because of this.
335,"**

I've been living with severe mental illness since I was about 18, with 5 hospitalizations, 3 suicide attempts, every class of medication in the book, and I've now lost the ability to work and I live on social security."
336,"On a daily basis I also deal with severe depression, difficulty functioning and keeping up with medication/eating/showing/etc, intrusive thoughts and images (which are often extremely grotesque or sexually obscene - I DO NOT create these thoughts, they are NOT mine."
337,"In the past, I've had great success taking the medication Tegretol, but now they refuse to prescribe it to me because I'm not schizophrenic."
338,"My daily life is so broken, even with antidepressants, anxiety, and focus related medications."
339,"My current medications keep me from being suicidal and I'm productive occasionally, but that isn't enough."
340,I don't take meds and I don't go to therapy anymore.
341,Esp if not meds or therapy are involved at the time.
342,"They keep giving me medication, which only prevent me from having completely psychotic breakdowns, but I'm never really going to improve to how I used to be."
343,I have been able to survive in this state for a very long time without medication (about 3 months).
344,"As it gets worse, my doctor has prescribed higher doses and different kinds of medication, but they don't seem to help."
345,I don't want to be locked up or forced to be on meds.
346,- My brother has been on tons of different antipsychotics and antidepressant medications.
347,"They just prescribe an antipsychotic medication, my brother usually refuses the meds based on a real or fictitious aversion to some side effect (gagging while eating, leg stiffness, etc) and then they put him back on Rispiridone, which doesn't seem to be doing anything to help his auditory hallucinations."
348,What do I do if he refuses a medication or treatment?
349,I have a suicide complex and this medication amplified it to overwhelming urges.
350,"I do not want to commit suicide but I do think about it a lot, I believe this medication amplified my complex."
351,"I know discussing medication is a bit dodgy and I had mentioned to others I was taking Busiprone, just be weary of it's side effects."
352,"I will not mention medication anymore, everyone's experiences may differ, these medicines are borderline experimental."
